City,Exp Type,Amount
"Madikeri, India",Entertainment,552260
"Siwan, India",Bills,552086
"Adoor, India",Fuel,552070
"Raisen, India",Bills,551911
"Nagercoil, India",Food,551749
"Tiruvuru, India",Grocery,550987
"Kalyan-Dombivali, India",Entertainment,550713
"Sattur, India",Bills,549053
"Diphu, India",Grocery,548893
"Arsikere, India",Food,548865
"Mancherial, India",Grocery,547851
"Lunawada, India",Fuel,547196
"Koyilandy, India",Grocery,546787
"Jhargram, India",Bills,546492
"Nadiad, India",Grocery,546395
"Jammalamadugu, India",Bills,545594
"Anantapur, India",Food,544498
"Singrauli, India",Entertainment,544154
"Gobichettipalayam, India",Bills,544059
"Siwan, India",Grocery,543274
"Talegaon Dabhade, India",Food,543272
"Paramakudi, India",Food,543155
"Pehowa, India",Food,542211
"Jammu, India",Food,541529
"Navsari, India",Entertainment,540387
"Sainthia, India",Bills,539358
"Margao, India",Entertainment,539082
"Udgir, India",Entertainment,538988
"Lakheri, India",Grocery,538638
"Seoni, India",Food,538456
"Rajkot, India",Bills,538435
"Korba, India",Grocery,538368
"Marmagao, India",Entertainment,537945
"Sadasivpet, India",Fuel,537843
"Oddanchatram, India",Grocery,537392
"Narwana, India",Fuel,536252
"Dehri-On-Sone, India",Entertainment,535496
"Thangadh, India",Entertainment,535122
"Mandapeta, India",Bills,535103
"Adilabad, India",Grocery,534570
"Arsikere, India",Fuel,533670
"Mungeli, India",Food,533239
"Punalur, India",Entertainment,533107
"Talaja, India",Food,531896
"Anjangaon, India",Food,531512
"Pehowa, India",Fuel,531168
"Yanam, India",Entertainment,531115
"Tirukalukundram, India",Fuel,530866
"Jamshedpur, India",Food,530465
"Sanand, India",Grocery,530302
"Gurgaon, India",Grocery,530037
"Peddapuram, India",Grocery,529911
"Jalandhar, India",Grocery,529160
"Thiruvarur, India",Fuel,528833
"Jammu, India",Grocery,528189
"Taliparamba, India",Entertainment,527951
"Sangrur, India",Entertainment,527680
"Siddipet, India",Food,527593
"Baramula, India",Fuel,527241
"Sunabeda, India",Food,526781
"Manjlegaon, India",Grocery,525194
"Bhilai Nagar, India",Fuel,524721
"Taranagar, India",Bills,524589
"Pudukkottai, India",Entertainment,524094
"Chilakaluripet, India",Bills,523128
"Panvel, India",Food,522942
"Rewari, India",Grocery,522808
"Puliyankudi, India",Fuel,522193
"Chirala, India",Grocery,521910
"Udaipurwati, India",Bills,521850
"Rajapalayam, India",Fuel,520459
"Mehkar, India",Fuel,519104
"Viramgam, India",Bills,518534
"Rudauli, India",Food,517490
"Shahdol, India",Grocery,517462
"Narsinghgarh, India",Entertainment,516102
"Meerut, India",Entertainment,516077
"Bathinda, India",Entertainment,514762
"Malerkotla, India",Grocery,513120
"Sillod, India",Fuel,512710
"Roorkee, India",Entertainment,512464
"Nautanwa, India",Grocery,511802
"Navi Mumbai, India",Entertainment,511451
"Muvattupuzha, India",Food,511244
"Vadalur, India",Grocery,511136
"Pilkhuwa, India",Grocery,510779
"Solan, India",Grocery,510747
"Nadbai, India",Fuel,510530
"Modasa, India",Grocery,510347
"Srivilliputhur, India",Food,510133
"Bodhan, India",Food,509989
"Ranaghat, India",Food,509719
"Rae Bareli, India",Entertainment,508279
"Manuguru, India",Food,508177
"Gokak, India",Fuel,507975
"Kottayam, India",Grocery,507854
"Darbhanga, India",Grocery,506943
"Rajula, India",Food,506803
"Shajapur, India",Grocery,506470
"Bhadrachalam, India",Grocery,505983
"Jhansi, India",Food,505792
"Kalyan-Dombivali, India",Fuel,505688
"Hubli-Dharwad, India",Grocery,505562
"Nagpur, India",Food,505070
"Srinagar, India",Bills,504999
"Kodungallur, India",Fuel,503773
"Gurdaspur, India",Bills,503743
"Rabkavi Banhatti, India",Entertainment,502850
"Shoranur, India",Bills,502798
"Nuzvid, India",Fuel,502719
"Bhongir, India",Food,502567
"Nellikuppam, India",Food,502509
"Udumalaipettai, India",Entertainment,501698
"Manvi, India",Bills,500828
"Ladwa, India",Fuel,500650
"Moradabad, India",Entertainment,499647
"Jhargram, India",Food,499531
"Jamshedpur, India",Fuel,499369
"Bongaigaon City, India",Food,499347
"Pandhurna, India",Bills,499236
"Savner, India",Bills,498535
"Pilani, India",Fuel,498520
"Sibsagar, India",Entertainment,497834
"Udgir, India",Food,497113
"Sainthia, India",Fuel,497111
"Farooqnagar, India",Entertainment,496792
"Khanna, India",Fuel,496594
"Ponnani, India",Grocery,496452
"Sagar, India",Grocery,496346
"Surandai, India",Entertainment,496330
"Shahabad, India",Entertainment,496138
"Medininagar (Daltonganj), India",Fuel,495654
"Jammalamadugu, India",Fuel,494903
"Pipar City, India",Bills,494787
"Sailu, India",Fuel,493633
"Aruppukkottai, India",Entertainment,493020
"Yavatmal, India",Fuel,492843
"Oddanchatram, India",Food,492306
"Vasai-Virar, India",Food,491988
"Kavali, India",Entertainment,491370
"Shivamogga, India",Food,491281
"Jagtial, India",Fuel,490907
"Koyilandy, India",Entertainment,490218
"Rahuri, India",Bills,489642
"Theni Allinagaram, India",Fuel,489313
"Jamalpur, India",Bills,489217
"Murshidabad, India",Entertainment,488412
"Mahuva, India",Bills,487820
"Baharampur, India",Food,487652
"Sikandrabad, India",Bills,487606
"Tirukalukundram, India",Entertainment,486308
"Umarga, India",Fuel,485388
"Sailu, India",Food,485072
"Ratangarh, India",Fuel,483541
"Dumraon, India",Entertainment,483433
"Ashok Nagar, India",Grocery,483249
"Karaikal, India",Food,482918
"Haldwani-Cum-Kathgodam, India",Grocery,482140
"Sirhind Fatehgarh Sahib, India",Bills,481648
"Pernampattu, India",Entertainment,481236
"Udaipur, India",Food,481086
"Dumraon, India",Fuel,479920
"Dhubri, India",Entertainment,479249
"Panruti, India",Fuel,478586
"Nainital, India",Grocery,477951
"Sultanganj, India",Entertainment,477925
"Rajampet, India",Grocery,476730
"Sankari, India",Grocery,476180
"Sahibganj, India",Grocery,475603
"Mahe, India",Entertainment,474690
"Pandhurna, India",Entertainment,474620
"Rawatbhata, India",Food,474377
"Barbil, India",Grocery,474270
"Mangrulpir, India",Grocery,473982
"Parvathipuram, India",Entertainment,473520
"Dibrugarh, India",Bills,473374
"Sihor, India",Food,473152
"Rajagangapur, India",Grocery,473126
"Panipat, India",Bills,472567
"Thirumangalam, India",Entertainment,472254
"Pithoragarh, India",Grocery,470612
"Upleta, India",Grocery,470032
"Tadpatri, India",Grocery,470028
"Umred, India",Fuel,468983
"Hajipur, India",Fuel,468633
"Patiala, India",Bills,468593
"Vijayapura, India",Food,468464
"Chatra, India",Grocery,468134
"Sedam, India",Food,467621
"Jagdalpur, India",Grocery,467207
"Udaipur, India",Fuel,467030
"Mangrol, India",Entertainment,466313
"Thiruvananthapuram, India",Bills,466204
"Ramachandrapuram, India",Bills,465969
"Sagar, India",Entertainment,465752
"Rudrapur, India",Entertainment,465538
"Silchar, India",Food,464997
"Dhuri, India",Bills,464025
"Hardwar, India",Fuel,463453
"Padrauna, India",Grocery,462672
"Gobichettipalayam, India",Entertainment,462665
"Rudrapur, India",Food,462593
"Gobindgarh, India",Fuel,462583
"Bharatpur, India",Food,462318
"Lunglei, India",Grocery,461941
"Saunda, India",Entertainment,461081
"Kishanganj, India",Entertainment,460639
"Kannur, India",Grocery,460368
"Shegaon, India",Entertainment,460219
"Naugawan Sadat, India",Fuel,459933
"Thanjavur, India",Grocery,459623
"Pudukkottai, India",Grocery,459593
"Rajsamand, India",Food,459121
"Kozhikode, India",Fuel,458867
"Tezpur, India",Bills,458828
"Naihati, India",Fuel,457556
"Jagdalpur, India",Food,457056
"Amravati, India",Bills,456902
"Warora, India",Entertainment,456615
"Mandideep, India",Fuel,456083
"Nelamangala, India",Fuel,455711
"Sherkot, India",Grocery,455390
"Madhupur, India",Entertainment,455350
"Paravoor, India",Food,455020
"Ranavav, India",Bills,454927
"Jalandhar, India",Food,454452
"Yerraguntla, India",Bills,453950
"Ballari, India",Fuel,453723
"Nowgong, India",Fuel,453638
"Pratapgarh, India",Fuel,453541
"Vikarabad, India",Entertainment,453055
"Bongaigaon City, India",Fuel,452719
"Sira, India",Bills,452186
"Lakshmeshwar, India",Bills,451979
"Sujangarh, India",Food,451811
"Kandukur, India",Fuel,451469
"Merta City, India",Grocery,451007
"Tiruvannamalai, India",Food,450741
"Lar, India",Entertainment,449700
"Dehradun, India",Grocery,449051
"Koratla, India",Fuel,449050
"Muddebihal, India",Fuel,448781
"Kadapa, India",Food,448702
"Siliguri, India",Food,448501
"Manmad, India",Entertainment,447715
"Aurangabad, India",Grocery,447686
"Pipariya, India",Grocery,447245
"Asansol, India",Fuel,447113
"Belagavi, India",Food,447017
"Ramanagaram, India",Grocery,446942
"Nokha, India",Bills,446566
"Mohali, India",Fuel,445882
"Bhongir, India",Grocery,445800
"Sangrur, India",Grocery,445482
"Purulia, India",Bills,445341
"Pinjore, India",Fuel,445341
"Chilakaluripet, India",Fuel,444802
"Thoubal, India",Fuel,444729
"Mokokchung, India",Bills,444381
"Revelganj, India",Fuel,443933
"Sandila, India",Entertainment,443648
"Ponnur, India",Entertainment,443593
"Kolar, India",Fuel,443415
"Baleshwar Town, India",Bills,442744
"Ramnagar, India",Food,442530
"Batala, India",Bills,442333
"Nilanga, India",Food,442140
"Amravati, India",Entertainment,442107
"Nellore, India",Bills,441837
"Sagwara, India",Food,441419
"Jangaon, India",Food,439468
"Shirur, India",Bills,439086
"Bharatpur, India",Fuel,439033
"Madanapalle, India",Entertainment,438939
"Sawai Madhopur, India",Food,438857
"Mudalagi, India",Bills,438738
"Adoni, India",Fuel,438677
"Ludhiana, India",Food,438637
"Mandya, India",Grocery,438612
"Rajahmundry, India",Bills,438317
"Karnal, India",Food,438047
"Sangamner, India",Grocery,437401
"Usilampatti, India",Fuel,436987
"Darjiling, India",Entertainment,436913
"Srivilliputhur, India",Bills,436833
"Sitapur, India",Bills,436398
"Paithan, India",Bills,436250
"Ratnagiri, India",Food,436183
"Purnia, India",Bills,436086
"Seohara, India",Entertainment,435487
"Naihati, India",Food,435120
"Wani, India",Fuel,434052
"Pithapuram, India",Entertainment,433748
"Kashipur, India",Bills,433583
"Bhuj, India",Food,433240
"Palghar, India",Fuel,432826
"Chandigarh, India",Food,432233
"Baripada Town, India",Food,432135
"Medak, India",Bills,432107
"Kasaragod, India",Food,431880
"Kadi, India",Food,431634
"Sojat, India",Entertainment,431001
"Sivakasi, India",Entertainment,430881
"Mansa, India",Entertainment,430770
"Sirkali, India",Grocery,430757
"Vikramasingapuram, India",Bills,430613
"Pithapuram, India",Grocery,430310
